question_id,model,repeat,score,max_score,note
Q01,gemma3,1,5,5,"정답. 주어진 자료에는 의뢰인 요청은 있었지만, 중개사 거부함. 하지만 근거 첫 문장 '의뢰인의 요청에 따라 보여주지 않았고'는 사실왜곡에 해당. 결론·조항 정확"
Q01,gemma3,2,5,5,"r1과 동일. 같은 왜곡 반복"
Q01,qwen3,1,5,5,"정답. 근거 문장이 자료와 일치"
Q01,qwen3,2,5,5,"r1과 동일"
Q02,gemma3,1,3,5,"판정·유형 정확. 근거를 (가) 옵션 성능으로 인용 - 방향은 (다). 90도 기준 미적용"
Q02,gemma3,2,3,5,"r1과 동일"
Q02,qwen3,1,5,5,"정답. 단 (라)를 먼저 검토했다 기각하는 과정이 답변에 노출됨"
Q02,qwen3,2,5,5,"r1과 동일"
Q03,gemma3,1,3,4,"판정·유형 정확. 근거를 (다)로 인용 - 직선거리는 (라). 첫 문장은 Q02와 동일한 '옵션의 성능' 문구 반복"
Q03,gemma3,2,3,4,"r1과 같은 오류이나 인용 조항이 (가)로 바뀜. 같은 조건에서 결론이 바뀜"
Q03,qwen3,1,4,4,"정답. 단 '직선거리 40지 400m' 오타 발생"
Q03,qwen3,2,4,4,"r1과 동일. 같은 오타 반복"
Q04,gemma3,1,3,4,"판정·유형 정확. 근거를 (가) 가격 조항으로 인용 - 사진은 (다). 사진 문제를 가격 문제로 잘못 연결"
Q04,gemma3,2,4,4,"정답. 단 '가격, 면적, 용도'는 자료에 없는 확장. r1과 인용 조항이 다름"
Q04,qwen3,1,4,4,"정답. 501호/201호를 구체적으로 대조"
Q04,qwen3,2,4,4,"r1과 동일"
Q05,gemma3,1,1,5,"판정 칸에 유형 선택지 '해당없음' 기입. 유형 칸에 선택지 4개를 그대로 복사 출력. 근거 내용은 타당하나 형식 붕괴"
Q05,gemma3,2,2,5,"판정 칸에 '해당없음' 기입. 유형 칸에 '부존재·허위' - 위반이 없다면서 위반 유형 지정, 근거와 모순"
Q05,qwen3,1,5,5,"정답. (가)(나)(다)(라) 네 조항을 하나씩 대조해 비저촉 이유 제시"
Q05,qwen3,2,5,5,"r1과 동일"
Q06,gemma3,1,1,4,"'45도 이상'을 90도 기준에 대입하는 논리 붕괴. 숫자 비교 실패. 형식만 준수"
Q06,gemma3,2,1,4,"r1과 동일"
Q06,qwen3,1,2,4,"45<90 계산은 정확하나 판정 줄은 '해당'으로 근거와 모순. 동일 문장 10회 이상 반복 후 1024토큰 한도 도달, 문장 중간 절단"
Q06,qwen3,2,2,4,"45<90 계산 정확. 판정 줄 '해당'과 근거가 모순. 답변 내에 판정 블록이 2회 출력됨(해당 → 판단불가)"
Q07,gemma3,1,2,5,"판정 오답. '통보받지 않았고 문의도 없으며 권유도 확인되지 않았으므로 (가)에 해당'이라는 자기모순 문장. 요건 미충족을 스스로 나열하고도 반대 결론"
Q07,gemma3,2,2,5,"r1과 동일"
Q07,qwen3,1,5,5,"정답. '기망 행위' 요건을 명시적으로 짚고 미충족 판단. (나) 3일 조건까지 검토"
Q07,qwen3,2,5,5,"r1과 동일"
Q08,gemma3,1,2,4,"판정 오답. '현저하게'의 수치 기준이 자료에 없는데도 '현저하게 차이가 난다'고 단정. 다만 임의 수치 기준은 만들지 않음"
Q08,gemma3,2,2,4,"r1과 동일"
Q08,qwen3,1,2,4,"판정 오답. gemma3와 같은 방식으로 '현저하게 차이'를 단정. 임의 수치 기준은 만들지 않음"
Q08,qwen3,2,2,4,"r1과 동일"
Q09,gemma3,1,1,2,"과태료 질문에 대한 언급 자체가 없음. 묻지 않은 방향 판정만 수행"
Q09,gemma3,2,1,2,"r1과 동일"
Q09,qwen3,1,2,2,"과태료가 기준에 없어 답변할 수 없다고 명시"
Q09,qwen3,2,2,2,"r1과 동일"
Q10,gemma3,1,1,3,"판정·유형은 정확하나 '손해배상을 청구할 수 있는 근거가 될 수 있다'며 법적 판단 수행. system 프롬프트의 명시적 금지 위반"
Q10,gemma3,2,1,3,"r1과 동일. '손해배상을 청구할 수 있는 사유를 제공할 수 있다'로 표현"
Q10,qwen3,1,1,3,"판정 오답(미해당). Q01과 유사한 사실관계인데 반대 결론. 근거 내에서도 '해당하지 않음'과 '명확히 판단되지 않음'이 혼재"
Q10,qwen3,2,2,3,"판정 오답이나 '손해배상·승소 가능성은 본 기준에 포함되지 않음'을 명시해 법적 판단은 회피"
